description,deployed,phrase_count,doc_type,source,type,createdOn,enabled,matching,rollup,display_type,search_terms,effective_range,word_count,review,param_keys,banner_url,id,use_qec,confidence,groups,updatedOn,priority,param_values,field_name,_version_,sourceType,param_policies,name,surface_form,redirect_url,field_values
galaxy gear s,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,gears,,,approved,,"<a href=""//www.verizonwireless.com/connected-devices/samsung-gear-s/?intcmp=INT-SEA-NON-AC-galaxy_gear_s-092614-DE-SR-DV-T"" campaign-code=""intcmp=INT-SEA-NON-AC-galaxy_gear_s-092614-DE-SR-DV-T"" search-banner=""galaxy gear s""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-gear-s?$jpeg80$&scl=1' alt='The Next Big Thing is Here, SAMSUNG GEAR S' title='The Next Big Thing is Here, SAMSUNG GEAR S' style='width:100%'></a>",6c972e98-3263-4fc6-9398-30d5c75f300c,,,rules-global,2019-08-13T01:17:01.240Z,1,,,1654098779815542785,,,gears-desktop,,,
"",true,,rule,,redirect,2018-09-24T22:56:08.900Z,false,keywords,Redirect,Redirect,nest,,,approved,,,db2744d0-51b3-487b-ad36-0b2799922c74,,,rules-global,2019-09-09T04:26:18.270Z,1,,,1654098779815542786,,,Nest redirect,,https://www.verizonwireless.com/products/nest/?intcmp=INT-SITESEARCH-REDIRECT-NEST,
"",true,,rule,,redirect,2018-09-24T22:56:08.900Z,false,keywords,Redirect,Redirect,"foundation,charity,charities,donate,donations,donation",,,approved,,,f3165260-8878-42b8-a80d-9f7dca5eec0a,,,rules-global,2019-09-09T04:26:53.640Z,1,,,1654098779815542787,,,verizon foundation-redirect,,http://www.verizon.com/about/verizon-foundation/?intcmp=INT-SITESEARCH-REDIRECT-CHARITY,
"",true,,rule,,redirect,2018-09-24T22:56:08.900Z,false,keywords,Redirect,Redirect,"careers,career,job,jobs",,,approved,,,c00b7093-9b0a-4a77-8295-c7aea56929ee,,,rules-global,2019-09-09T04:28:23.280Z,1,,,1654098779816591360,,,careers-redirect,,http://www.verizon.com/about/careers/,
Custom rule to identify shop intent,true,,rule,,set_params,2018-09-24T22:56:08.900Z,true,text,Set Params,Set Params,"watch,apple,asus,htc,kyocera,lg,motorola,samsung,certified,hp,sonim,s9,s8,hum,tablet,ipad,hotspot,note,note9,note8,pixel,iphone,moto,galaxy,smartphones,accessories,bundles,prepaid smartphones",,,approved,"bq,bq,bq",,dec6aaae-68c1-4770-9ea5-e80c27ff4052,,,rules-global,2019-09-09T18:32:22.770Z,1,"recordIntent:(""Shop"")^10,recordContentType:(""Devices"")^25,recordContentType:(""Accessories"")^10",,1654098779816591361,,"append,append,append",Shop-Intent Based Query,,,
"",true,,rule,,redirect,2018-09-24T22:56:08.900Z,false,keywords,Redirect,Redirect,"Otterbox,otter box,otterbox case,otterbox cases,otter box case,otter box cases",,,approved,,,48220522-8225-4f84-947c-cc10fc092eb0,,,rules-global,2019-09-19T14:18:32.180Z,1,,,1654098779816591362,,,Otterbox,,https://www.verizonwireless.com/products/otterbox/?intcmp=INT-SITESEARCH-REDIRECT-OTTERBOX,
"",true,,rule,,redirect,2018-09-24T22:56:08.900Z,false,keywords,Redirect,Redirect,hum,,,approved,,,51bb096a-7f6a-4568-bbc9-e1279c8e1c57,,,rules-global,2019-09-19T14:18:36.550Z,1,,,1654098779817639936,,,hum redirect,,https://www.verizonwireless.com/solutions-and-services/hum/,
"",true,,rule,,redirect,2018-09-24T22:56:08.900Z,false,keywords,Redirect,Redirect,"flip phone,flip phones,flip smartphone,flip smartphones,slide phone,slide phones,slide smartphone,qwerty phone,qwerty phones",,,approved,,,e24e6771-66e0-458a-9461-308f3a81d78c,,,rules-global,2019-09-19T14:22:26.500Z,1,,,1654098779817639937,,,flip phone,,https://www.verizonwireless.com/basic-phones/?intcmp=INT-SITESEARCH-REDIRECT-BASICPHONE,
beats by dre,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,beats,,,approved,,"<a href=""//www.verizonwireless.com/accessories/beats/?intcmp=INT-SEA-NON-CS-beats_by_dre-011215-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-beats_by_dre-011215-DE-SR-LP-T"" search-banner=""beats by dre""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-beats-d-110415?$jpeg100$&scl=1' alt='Beats by Dre' title='Beats by Dre' style='width:100%'></a>",00373202-c1fc-47f2-b348-426789be489d,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779817639938,,,beats-desktop,,,
account roles - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,account,,,approved,,"<a href=""//www.verizonwireless.com/support/assign-account-manager-roles-faqs/?intcmp=INT-SEA-NON-CS-account_roles-091114-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-account_roles-091114-MO-SR-LP-BO"" search-banner=""account roles - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-mobile-manage-account?$jpeg80$&scl=1' alt='Add a line' title='Add a line' style='width:100%'></a>",00610a0b-f83f-4011-8e17-e39ceb0f3b48,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779817639939,,,account-mobile,,,
smart home,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,smart home,,,approved,,"<a href=""//www.verizonwireless.com/smart-home/?intcmp=INT-SEA-NON-CS-smart_home-072914-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-smart_home-072914-DE-SR-LP-T"" search-banner=""smart home""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-smarthome-082615?$jpeg80$&scl=1' alt='Transform your home into a Smart Home' title='Transform your home into a Smart Home' style='width:100%'></a>",0146b204-c8c8-4843-8ee9-f171f85c070b,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779817639940,,,smart-home-desktop,,,
cancel - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,final bill,,,approved,,"<a href=""tel:18002228588?intcmp=INT-SEA-NON-WB-cancel-042415-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-WB-cancel-042415-MO-SR-LP-BO"" search-banner=""cancel - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-mobile-customer?$jpeg80$&scl=1' alt='We are not satisfied until you are.  Talk to us now 1-800-222-8588?' title='We are not satisfied until you are.  Talk to us now 1-800-222-8588?' style='width:100%'></a>",016f8ffa-c55d-480d-b21a-a132fc3e3f84,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779818688512,,,final-bill-mobile,,,
gtm iphone 6s gng - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,6s charger,,,approved,,"<a href=""http://www.verizonwireless.com/accessories/iphone-6s/?intcmp=INT-SEA-NON-CS-iphone_6s_gng-09092015-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-iphone_6s_gng-09092015-MO-SR-LP-BO"" search-banner=""gtm iphone 6s gng - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/site-search-iphone6s-accy-po-m?$defaultScaleJPG$' alt='iPhone 6s Accessories' title='iPhone 6s Accessories' style='width:100%'></a>",02bd69ce-3f10-4f86-984d-e09a1ee8ae70,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779818688513,,,6s-charger-mobile,,,
gtm droid turbo 2 maxx 2 accessories - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,droid cases,,,approved,,"<a href=""//www.verizonwireless.com/accessories/?intcmp=INT-SEA-NON-CS-droidturbo2maxx2accessories-102915-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-CS-droidturbo2maxx2accessories-102915-MO-SR-LP-BO"" search-banner=""gtm droid turbo 2 maxx 2 accessories - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/site-search-banner-m-9919-10202015?$defaultScaleJPG$' alt='?Accessorize your DROID Turbo 2 and Maxx 2' title='?Accessorize your DROID Turbo 2 and Maxx 2' style='width:100%'></a>",02c23859-2ff1-4492-96ae-ebf409f7b9e2,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779818688514,,,droid-cases-mobile,,,
block call - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,block,,,approved,,"<a href=""//www.verizonwireless.com/support/block-numbers/?intcmp=INT-SEA-NON-SE-block_call-112414-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-block_call-112414-MO-SR-SU-BO"" search-banner=""block call - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-mobile-block-number?$jpeg80$&scl=1' alt='Protect yourself with Block a Number' title='Protect yourself with Block a Number' style='width:100%'></a>",03c8ee10-20ec-4cb2-a740-76dc5f4b227e,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779818688515,,,block-mobile,,,
smart home,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,house,,,approved,,"<a href=""//www.verizonwireless.com/smart-home/?intcmp=INT-SEA-NON-CS-smart_home-072914-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-smart_home-072914-DE-SR-LP-T"" search-banner=""smart home""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-smarthome-082615?$jpeg80$&scl=1' alt='Transform your home into a Smart Home' title='Transform your home into a Smart Home' style='width:100%'></a>",03e85999-9628-4e38-a084-618a837d17de,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779818688516,,,house-desktop,,,
motorola support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,moto,,,approved,,"<a href=""//www.verizonwireless.com/support/motorola/?intcmp=INT-SEA-NON-SE-motorola_support-070215-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-motorola_support-070215-MO-SR-SU-BO"" search-banner=""motorola support - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-moto-support-m-110615?$jpeg100$&scl=1' alt='Motorola Support' title='Motorola Support' style='width:100%'></a>",0429f0db-5d00-4805-9a63-cb8ed18c9169,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779819737088,,,moto-mobile,,,
vz messages android - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,Amazon,,,approved,,"<a href=""https://play.google.com/store/apps/details?id=com.verizon.messaging.vzmsgs&hl=en?intcmp=INT-SEA-NON-SE-vz_messages_android-101515-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-vz_messages_android-101515-MO-SR-LP-BO"" search-banner=""vz messages android - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-vzmessage-082615-m?$jpeg80$&scl=1' alt='Verizon Wireless - VZ Messages' title='Verizon Wireless - VZ Messages' style='width:100%'></a>",04dc286b-ac56-4196-9354-3686657900b4,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779819737089,,,Amazon-mobile,,,
motorola support,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,bionic,,,approved,,"<a href=""//www.verizonwireless.com/support/motorola/?intcmp=INT-SEA-NON-SE-motorola_support-070215-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-SE-motorola_support-070215-DE-SR-SU-T"" search-banner=""motorola support""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-moto-support-d-110615?$jpeg100$&scl=1' alt='Motorola Support' title='Motorola Support' style='width:100%'></a>",05718388-e137-49a4-bdb7-4f44b9df8aa1,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779819737090,,,bionic-desktop,,,
voicemail - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,voice mail,,,approved,,"<a href=""//www.verizonwireless.com/support/voice-mail-faqs/?intcmp=INT-SEA-NON-SE-voicemail-121514-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-voicemail-121514-MO-SR-SU-BO"" search-banner=""voicemail - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-voicemail-082615-m?$jpeg80$&scl=1' alt='FAQs about VOICEMAIL' title='FAQs about VOICEMAIL' style='width:100%'></a>",06366ce2-dc44-43fb-a9ed-319d370831d6,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779819737091,,,voice-mail-mobile,,,
motorola support - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,bionic,,,approved,,"<a href=""//www.verizonwireless.com/support/motorola/?intcmp=INT-SEA-NON-SE-motorola_support-070215-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-motorola_support-070215-MO-SR-SU-BO"" search-banner=""motorola support - mobile""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-moto-support-m-110615?$jpeg100$&scl=1' alt='Motorola Support' title='Motorola Support' style='width:100%'></a>",0655f215-5fbd-41ce-86cd-d94abe2d416f,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779819737092,,,bionic-mobile,,,
change password - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,password,,,approved,,"<a href=""//www.verizonwireless.com/support/my-verizon-faqs/?intcmp=INT-SEA-NON-SE-change_password-010715-MO-SR-SU-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-change_password-010715-MO-SR-SU-BO"" search-banner=""change password - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-mobile-change-password?$jpeg80$&scl=1' alt='Change Password' title='Change Password' style='width:100%'></a>",06d580de-4818-49c1-9a1f-65c063e00b63,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779819737093,,,password-mobile,,,
backup assistant plus - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,backup assistance,,,approved,,"<a href=""http://support.verizonwireless.com/support/faqs/FeaturesandOptionalServices/backup_assistant_plus.html?intcmp=INT-SEA-NON-SE-backup_assistant_plus-091114-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-backup_assistant_plus-091114-MO-SR-LP-BO"" search-banner=""backup assistant plus - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-mobile-backup-assistant?$jpeg80$&scl=1' alt='Backup Assistant Plus - SAVE YOUR FILES' title='Backup Assistant Plus - SAVE YOUR FILES' style='width:100%'></a>",078d0c27-0fb6-4cc4-a779-1386b3643d5c,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779820785664,,,backup-assistance-mobile,,,
beats by dre,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,solo2,,,approved,,"<a href=""//www.verizonwireless.com/accessories/beats/?intcmp=INT-SEA-NON-CS-beats_by_dre-011215-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-beats_by_dre-011215-DE-SR-LP-T"" search-banner=""beats by dre""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-beats-d-110415?$jpeg100$&scl=1' alt='Beats by Dre' title='Beats by Dre' style='width:100%'></a>",08230916-0f90-438e-b631-9c8808566799,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779820785665,,,solo2-desktop,,,
vz messages - mobile,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,sms,,,approved,,"<a href=""//www.verizonwireless.com/wcms/consumer/products/verizon-messages.html?intcmp=INT-SEA-NON-SE-vz_messages-09112014-MO-SR-LP-BO"" campaign-code=""intcmp=INT-SEA-NON-SE-vz_messages-09112014-MO-SR-LP-BO"" search-banner=""vz messages - mobile""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-vzmessage-082615-m?$jpeg80$&scl=1' alt='Verizon Wireless - VZ Messages' title='Verizon Wireless - VZ Messages' style='width:100%'></a>",0828efe0-9c1c-4711-9dbd-a0c1d72ac0ee,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779820785666,,,sms-mobile,,,
cancel,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,final bill,,,approved,,"<a href=""//www.verizonwireless.com/wcms/myverizon/customer-retention.html?intcmp=INT-SEA-NON-WB-cancel-042415-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-WB-cancel-042415-DE-SR-LP-T"" search-banner=""cancel""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-customer?$defaultScaleJPG$' alt='We are not satisfied until you are.  Talk to us now 1-800-222-8588' title='We are not satisfied until you are.  Talk to us now 1-800-222-8588' style='width:100%'></a>",0927a760-7ff0-46e0-87ae-cfb9d2f62895,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779820785667,,,final-bill-desktop,,,
change password,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,password,,,approved,,"<a href=""//www.verizonwireless.com/support/my-verizon-faqs/?intcmp=INT-SEA-NON-SE-change_password-010715-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-SE-change_password-010715-DE-SR-SU-T"" search-banner=""change password""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-change-password?$defaultScaleJPG$' alt='Change Password' title='Change Password' style='width:100%'></a>",0b069e66-3e13-41fd-9c49-2722267d5bc1,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779820785668,,,password-desktop,,,
smart rewards,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,smart rewa,,,approved,,"<a href=""//www.verizonwireless.com/rewards/learn?intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" search-banner=""smart rewards""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-rewards-082615?$jpeg80$&scl=1' alt='Introducing Verizon Smart Rewards' title='Introducing Verizon Smart Rewards' style='width:100%'></a>",0b61c0cd-03d4-4996-aef0-4519789638d9,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779820785669,,,smart-rewa-desktop,,,
gtm droid turbo 2 maxx 2 accessories,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,maxx2 accessories,,,approved,,"<a href=""//www.verizonwireless.com/accessories/?intcmp=INT-SEA-NON-CS-droidmaxxaccessories-102915-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-droidmaxxaccessories-102915-DE-SR-LP-T"" search-banner=""gtm droid turbo 2 maxx 2 accessories""><img src='//ss7.vzw.com/is/image/VerizonWireless/site-search-banner-d-9919-10202015?$defaultScaleJPG$' alt='Accessorize your DROID Turbo 2 and Maxx 2' title='Accessorize your DROID Turbo 2 and Maxx 2' style='width:100%'></a>",0bdc504f-7917-4737-80c5-7642742a7005,,,rules-global,2018-09-24T22:56:08.900Z,1,,,1654098779821834240,,,maxx2-accessories-desktop,,,
